Date,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category,City
2021-01-01,7,23,0,21,0,0,23,PM2.5,Good,Yogyakarta
2021-01-02,7,23,0,21,0,0,23,PM2.5,Good,Yogyakarta
2021-01-03,10,32,1,25,0,0,32,PM2.5,Good,Yogyakarta
2021-01-04,10,31,0,21,0,0,31,PM2.5,Good,Yogyakarta
2021-01-05,3,38,0,21,0,0,38,PM2.5,Good,Yogyakarta
2021-01-06,23,61,0,24,16,0,61,PM2.5,Moderate,Yogyakarta
2021-01-07,23,59,1,29,24,0,59,PM2.5,Moderate,Yogyakarta
2021-01-08,20,54,1,28,1,0,54,PM2.5,Moderate,Yogyakarta
2021-01-09,18,54,1,25,0,0,54,PM2.5,Moderate,Yogyakarta
2021-01-10,8,24,0,21,0,0,24,PM2.5,Good,Yogyakarta
2021-01-11,12,36,3,29,0,0,36,PM2.5,Good,Yogyakarta
2021-01-12,9,27,3,27,0,0,27,PM2.5,Good,Yogyakarta
2021-01-13,6,18,18,20,15,2,20,CO,Good,Yogyakarta
2021-01-14,5,16,20,19,25,2,25,O3,Good,Yogyakarta
2021-01-15,14,49,24,27,34,3,49,PM2.5,Good,Yogyakarta
2021-01-16,17,54,21,22,31,3,54,PM2.5,Moderate,Yogyakarta
2021-01-17,19,57,25,28,34,4,57,PM2.5,Moderate,Yogyakarta
2021-01-18,14,46,22,21,14,4,46,PM2.5,Good,Yogyakarta
2021-01-19,20,59,28,24,28,4,59,PM2.5,Moderate,Yogyakarta
2021-01-20,24,62,24,26,36,5,62,PM2.5,Moderate,Yogyakarta
2021-01-21,18,53,24,26,27,5,53,PM2.5,Moderate,Yogyakarta
2021-01-22,18,55,23,28,43,5,55,PM2.5,Moderate,Yogyakarta
2021-01-23,24,63,23,25,45,4,63,PM2.5,Moderate,Yogyakarta
2021-01-24,35,78,25,29,46,7,78,PM2.5,Moderate,Yogyakarta
2021-01-25,33,79,21,23,27,5,79,PM2.5,Moderate,Yogyakarta
2021-01-26,28,71,22,25,31,4,71,PM2.5,Moderate,Yogyakarta
2021-01-27,10,31,21,22,36,3,36,O3,Good,Yogyakarta
2021-01-28,5,18,18,18,38,3,38,O3,Good,Yogyakarta
2021-01-29,11,44,20,26,42,3,44,PM2.5,Good,Yogyakarta
2021-01-30,20,65,22,32,47,4,65,PM2.5,Moderate,Yogyakarta
2021-01-31,28,72,21,28,45,5,72,PM2.5,Moderate,Yogyakarta
